trial,score,kp1,kp2,kd1,kd2,diverged,diverge_time_s,steps_completed,ee_err_mean,ee_err_max,ee_err_rms,ee_err_final,q_err_mean,q_err_max,q_err_std,theta_err_mean,theta_err_max,delta_mean,delta_max,delta_std,tau_mean,tau_max,tau1_mean,tau2_mean,tau_sat_fraction,wall_disp_mean,wall_disp_max,wall_disp_std,contact_fraction,contact_steps,elapsed_s
1,84.085443,34.35,2.244,0.87,0.54,0,nan,1001,2.411477558468409,3.4797915311200915,2.5766537702648007,3.0060937634978004,3.1932800230636627,4.7098792644678635,1.0494487504023815,15.497147340210864,18.20973994368011,15.266314722679589,15.9330852414997,1.7349482809801744,275.9550975877943,282.842712474619,3.9246753879336156,0.08744863525044956,0.987012987012987,0.019760530808945985,0.0319416490071829,0.010630807046448563,0.007992007992007992,8,0.78
2,84.638073,34.35,2.244,0.87,0.72,0,nan,1001,2.4917486117683727,3.497367791173318,2.6378156417389453,3.289303798903404,3.2749793217190297,4.699376493347683,1.0130434106007806,15.549231799158363,18.183906917371942,15.304498873358762,15.930808820225854,1.5540824226484342,276.32086628300976,282.842712474619,4.20592917566108,0.15041487559061045,0.99000999000999,0.01798332265652935,0.02325640309383537,0.007409466320752672,0.008991008991008992,9,0.77
3,83.35104,34.35,2.244,0.87,0.9,0,nan,1001,2.357842749258878,3.4987252744342645,2.523341640774688,3.285656572397584,3.1493635264956032,4.6793950662620425,1.0813589107714503,15.54918089865183,18.13554840169044,15.326561621269137,15.928397048638415,1.4508158120793018,276.72212524321066,282.842712474619,3.937543738764118,0.13983329546338724,0.991008991008991,0.003508589918562586,0.012443343240623917,0.002800886337697167,0.005994005994005994,6,0.77
4,85.177018,34.35,2.244,0.87,1.08,0,nan,1001,2.576245552960871,3.500007221281224,2.690822206724962,3.2542744203026723,3.4050323724331157,4.62753617186536,0.9458226933282552,15.60045003767053,18.10964830624301,15.333654690685076,15.928678755381746,1.3833310752269532,276.47769619190575,282.842712474619,4.708153467948765,0.1257213563721412,0.9920079920079921,0.004815711382047063,0.00919029148833263,0.0023284420092378254,0.003996003996003996,4,0.77
5,83.084317,34.35,2.244,0.87,1.26,0,nan,1001,2.3160405276970866,3.462797333425689,2.4938640796112654,2.443637809673516,3.074697440482967,4.693999294410945,1.0765389488383246,15.559082969372263,18.179103391425762,15.35229953599042,15.963706159364035,1.3237617918448845,277.40124581887727,282.842712474619,3.6831261157051576,0.08873708842120359,0.993006993006993,0.005212987507202085,0.011653638492290449,0.0037305140943102045,0.002997002997002997,3,0.77
6,83.728285,34.35,2.244,1.16,0.54,0,nan,1001,2.2418128018627725,3.44434070141366,2.4100482698597183,2.8604402164521066,2.9666482960986706,4.707456694563427,1.1130508664255634,15.499013510345542,18.632460469132283,15.297538248370113,16.4068150520514,1.7332250224688295,279.0332949173688,282.842712474619,-0.05546810438535941,0.08717330895987643,0.987012987012987,0.019508304501861206,0.03192231691419513,0.010453300165217224,0.005994005994005994,6,0.77
7,85.35039,34.35,2.244,1.16,0.72,0,nan,1001,2.3875346665084907,3.431992708522228,2.530283593347927,2.7139956039998596,3.3976934917321935,4.689757915326235,1.040063482403376,15.625317608205261,18.655744642039206,15.337584904821952,16.380886387367767,1.5534764015192988,279.6143029603839,282.842712474619,-0.01713711169115693,0.1507636106163898,0.99000999000999,0.014209200384080266,0.02099944716570998,0.006782546438484483,0.007992007992007992,8,0.77
8,83.435545,34.35,2.244,1.16,0.9,0,nan,1001,2.2320690232478437,3.4886923686382127,2.4071148065476957,2.874289553723938,2.982116645368848,4.710248065109305,1.1148584341976988,15.562431629866664,18.664776695145772,15.35836853778868,16.379009171306024,1.4500042116688985,279.9475747308725,282.842712474619,-0.029255067833302662,0.13967206706168023,0.991008991008991,0.007006261754792365,0.012524424585978567,0.004579971801640961,0.006993006993006993,7,0.77
9,85.962039,34.35,2.244,1.16,1.08,0,nan,1001,2.5033695468659696,3.473214015211732,2.6219955809515265,2.4188363163378472,3.4001165426156854,4.723614888418528,0.999800525119717,15.579444755381413,19.808147205036374,15.369604782307164,16.374480519180032,1.3824933346522468,280.0814010049708,282.842712474619,0.12269994195877543,0.1257068665487026,0.9920079920079921,0.006006361421331922,0.010527990958548967,0.002816707258187921,0.005994005994005994,6,0.78
10,72.388486,34.35,2.244,1.16,1.26,0,nan,1001,1.2856075400071023,2.0646780058101393,1.3537090799218503,1.046371890929065,1.7085784032556433,2.2168041445597066,0.34206093424082745,15.274833789365813,18.106054296618762,15.384414392375716,16.361846878606425,1.3231082101887472,280.3425145865005,282.842712474619,0.13196423500558266,0.08853809470595767,0.993006993006993,0.009531976225696754,0.019245057812407432,0.006012458780162966,0.03496503496503497,35,0.79
